Team Number,Match Number,Scouter,extra cones,extra cubes,Start Positon,Taxi,Balance Attempt,Preloaded Cone,Preload Cube,Scored Preload,Docked Auto,Engaged Auto,Upper Cone,Mid Cone,Lower Cone,Upper Cube,Mid cube,Lower Cube,Links,Picked Up,Capable to Pick Up From Station,Capable to Pick Up From Floor,Can go over bump,Did Defend,Was Defended,Time,Docking attempts,Endgame Docked,Endgame Engaged,Parked,Auto Notes,Teleop Notes,Endgame Notes,Won,RP
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3543,4,Miles,0,0,3,Yes,No,Yes,No,Yes,No,No,0,0,0,0,0,0,0,1,No,Yes,Yes,No,No,0,0,No,No,No,,arm is really slow and bad,not inside community,No,0
3543,7,Grace,0,0,1,Yes,No,Yes,No,No,No,No,1,0,0,1,0,0,0,2,Yes,Yes,No,No,No,15,2,No,Yes,No,missed placement,"Wobbly/tips easily, slow pickup/drops easily/weak grip",,No,1
3543,10,Medina,0,0,1,Yes,No,Yes,No,Yes,No,No,0,0,0,1,0,0,0,1,No,Yes,No,No,No,1,0,No,Yes,No,Good auto with cone,Okay ability to pick up cubes,Good balancing,Yes,3
3543,19,MZ,0,0,1,No,No,Yes,No,Yes,No,No,0,0,1,0,0,0,3,0,No,No,Yes,Yes,No,23,1,No,No,No,tried placing higher but it fell into low node ,very unstable - tips very easily. probably too tall ,"balance was ok, trouble going into ramp",No,0
3543,22,Dorothy,0,0,1,Yes,No,Yes,No,Yes,No,No,0,0,0,0,0,0,0,0,No,No,No,No,No,0,0,No,No,No,,stopped moving,,No,0
3543,22,kai,0,0,3,No,No,Yes,No,Yes,No,No,0,1,0,0,0,0,0,0,No,No,Yes,No,No,0,0,No,No,No,,did nothing/stuck,,No,0
3543,26,Miles,0,0,3,Yes,No,Yes,No,No,No,No,0,1,0,0,0,0,0,2,No,No,No,No,No,0,0,No,No,Yes,,not good at picking up,,No,0
3543,29,Miles,0,0,3,Yes,No,Yes,No,Yes,No,No,1,0,0,0,0,0,0,3,Yes,Yes,No,No,Yes,0,1,No,Yes,No,,,,Yes,0
3548,19,kai,0,0,3,Yes,No,Yes,No,Yes,No,No,0,0,0,0,0,0,0,0,No,No,Yes,Yes,Yes,10,1,Yes,No,No,,skittish movement,,No,0
3543,36,Dorothy,1,0,0,Yes,No,Yes,No,No,No,No,0,0,0,0,0,0,0,0,No,No,No,No,No,3,1,No,Yes,No,,got stuck in another robot,,No,3
3543,36,Medina,0,0,1,Yes,No,Yes,No,No,No,No,0,0,0,0,0,0,0,0,No,No,Yes,Yes,No,4,0,No,Yes,No,,,,Yes,3
3543,41,Sarah,0,0,1,Yes,No,Yes,No,Yes,No,No,0,0,0,1,0,1,1,1,Yes,Yes,No,No,No,27,1,Yes,Yes,No,,,"engaged with another bot, but the third one messed it all up to a dok",No,0
3543,44,Sarah,0,0,1,Yes,No,Yes,No,No,No,No,2,1,0,0,0,0,1,3,Yes,No,No,No,No,29,1,No,Yes,No,,,,No,1
3543,52,Kevin,0,0,3,No,No,Yes,No,Yes,No,No,0,0,1,0,0,1,0,1,Yes,Yes,No,Yes,No,2,1,Yes,No,No,,,,No,0
3543,55,Grace,0,0,1,Yes,No,Yes,No,Yes,No,No,0,0,0,0,0,0,3,1,Yes,No,Yes,Yes,Yes,0,0,No,No,Yes,,"wobbly, inaccurate and slow pickup, have u in picking up cone and switched to defense, drops pieces easily",,Yes,3
