Team Number,Match Number,Scouter,extra cones,extra cubes,Start Positon,Taxi,Balance Attempt,Preloaded Cone,Preload Cube,Scored Preload,Docked Auto,Engaged Auto,Upper Cone,Mid Cone,Lower Cone,Upper Cube,Mid cube,Lower Cube,Links,Picked Up,Capable to Pick Up From Station,Capable to Pick Up From Floor,Can go over bump,Did Defend,Was Defended,Time,Docking attempts,Endgame Docked,Endgame Engaged,Parked,Auto Notes,Teleop Notes,Endgame Notes,Won,RP
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5885,practice 5,LS,0,0,2,Yes,Yes,No,No,No,Yes,Yes,0,0,0,0,0,0,0,3,Yes,No,Yes,No,Yes,3,1,Yes,Yes,No,stuck on charging station after auto,couldn't hold on to game pieces; bump made them tip A LOT,"balanced thrnselves, others unbalanced it",No,0
5885,qual 6,LS,0,0,2,No,Yes,No,No,No,Yes,Yes,0,0,0,1,0,0,3,2,No,No,No,No,No,6,0,No,No,Yes,,awkward pickup--cannot do well,,Yes,3
5885,10,Dorothy,0,0,2,No,Yes,No,No,No,No,No,0,0,0,0,0,0,0,0,No,No,No,No,No,0,0,No,No,No,fell,,,No,0
5881,qual 2,LS,0,0,2,No,Yes,No,No,No,Yes,Yes,0,0,0,1,1,1,0,4,Yes,Yes,Yes,Yes,Yes,0,1,Yes,No,No,,"keep getting stuck and crashing into others, not very accurate pick up",,No,0
5885,15,Aayan,0,0,2,No,Yes,No,No,No,No,No,0,1,0,1,1,0,1,3,No,Yes,No,No,No,9,1,Yes,No,No,,,was balancing on charging station but moved and three off the balance,No,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5885,23,Grace,0,0,1,No,No,No,Yes,No,No,No,0,0,0,0,0,3,3,2,No,Yes,Yes,No,Yes,9,1,No,Yes,No,,,,Yes,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5885,35,Medina,0,0,2,No,No,No,No,No,Yes,No,0,0,0,2,0,0,0,2,No,Yes,No,No,No,21,1,No,Yes,No,,,,Yes,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5885,qual 39,!Lucy,0,0,2,No,No,No,Yes,No,No,Yes,0,0,2,1,0,6,3,0,No,Yes,No,No,No,0,1,No,Yes,No,,scored pieces shuttled by alliance partners,2 balanced,Yes,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5885,qual 44,Lucy,0,0,2,No,No,Yes,No,No,No,Yes,0,0,3,0,0,3,3,0,Yes,Yes,Yes,Yes,No,0,0,No,No,Yes,,,,Yes,3
5885,48,Aayan,0,0,2,No,Yes,Yes,No,Yes,No,Yes,0,0,2,1,0,1,0,3,No,No,No,No,No,8,1,No,Yes,No,,,,No,1
